dialogue,emotion
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,joy
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ",joy
 Good.Let ' s go now . ,joy
 All right . ,joy
 Really ? I think that's impossible ! ,other
" Oh , yeah ? Which team ? ",other
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",other
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",joy
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ",joy
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,joy
 Is he really ? ,other
 It ’ s a wonderful Spanish style . ,joy
" Oh , I love the roof tiles on Spanish style houses . ",joy
 And it ’ s a bargaining . A house like this in river side costs double the price . ,joy
" Great , is it a two bedroom house ? ",joy
 That ’ s a nice area too . It ’ ll be a good investment for you . ,joy
" Right , congratulations . ",joy
 Thank you . ,joy
 That sounds like a good idea . I'll have to try that . ,joy
 Yes . I like cooking very much . I got this hobby when I was 12 years sold . ,joy
 That's wonderful ! ,joy
 Really ? I hope I can have a chance to taste it . Don't forget to tell me . ,other
You look so tan and healthy ! ,joy
 Thanks . I just got back from summer camp . ,joy
 Great . I got to try so many things for the first time . ,joy
 The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! ,joy
 That ’ s all right . Thank you all the same . ,joy
 That is truly amazing ! ,other
" Really ? Wow , I don't have to go to school tomorrow . ",other
 A crazy language ? Why do you say that ? ,other
 Thank you for you help . ,joy
 Right . ,joy
 This is a really great place to watch a baseball game . ,joy
" Yeah , there isn ’ t a bad seat in the place . ",joy
" The fans are great here , too . Not like in Philadelphia . ",joy
 It was a great idea to spend a day watching a game . ,joy
" Yeah , it reminds you why they say baseball is America ’ s favorite pastime . ",joy
How do you like the pizza here ? ,joy
 Perfect . It really hits the spot . ,joy
I was scared stiff of giving my first performance . ,other
 Were you ? your performance was excellent . ,joy
 Thank you for your kindly words . ,joy
 Sure . Which button do I press to shoot ? ,joy
